NAME,NAME.id,NAME.name,ASSOCIATION,CLUMP,EXPERIMENT,EXPERIMENT.count,EXPERIMENT.date,EXPERIMENT.description,EXPERIMENT.field,EXPERIMENT.fullname,EXPERIMENT.id,EXPERIMENT.index,EXPERIMENT.name,EXPERIMENT.series,IMAGE,IMAGE.label,IMAGE.meta,IMAGE.name,INTENSITY,INTENSITY.ch1,INTENSITY.ch2,INTENSITY.ch3,LOCATION,LOCATION.center,LOCATION.dist,LOCATION.half,LOCATION.pole,LOCATION.side,LOCATION.x,LOCATION.y,MAXIMA,MAXIMA.Maxima1,MAXIMA.count,MEDIAL,POSITION,POSITION.channel,POSITION.frame,POSITION.position,POSITION.slice,PROFILE_MEDIAL,SHAPE,SHAPE.angularity,SHAPE.area,SHAPE.aspectRatio,SHAPE.circularity,SHAPE.curvature,SHAPE.feret,SHAPE.length,SHAPE.morphology,SHAPE.orientation,SHAPE.perimeter,SHAPE.pole,SHAPE.roundness,SHAPE.sinuosity,SHAPE.solidity,SHAPE.width,ZSCORE,
b11,d2b1718e-f3a8-450d-ba25-8fda1682d5a9,b11,0,1,Experiment_test,97,11/6/2023,,1,Experiment_test,,,Experiment_test,1,20230801_LZ22225_60min_inf.002.tif - T=5,c:1/3 z:1/5 t:6/16 - 20230801_LZ22225_60min_inf.002,c:1/3 z:1/5 t:6/16 - 20230801_LZ22225_60min_inf.002.tif,20230801_LZ22225_60min_inf.002.tif - T=5,11856.484,Stats[mean=11677.72 min=9575.0 max=15554.0 stdv=1672.0511],Stats[mean=8608.4 min=7353.0 max=9694.0 stdv=610.1667],Stats[mean=6573.48 min=3983.0 max=8960.0 stdv=1373.3007],(x=23.10 y=6.38),false,23.968729,2,2,2,23.10435,6.3787966,0,0,0,1,1,1,1,1,1,ip[width=10  height=1  bits=16  min=7560.0  max=27342.0],1,0.0,0.31347242,2.1858325,0.80796546,1.02203185E-5,0.90726435,0.8977424,1,29.05458,2.2080464,2.0,0.4848884,1.0,0.99907595,0.3959191,3.530689,
b12,ec61cc0a-8e19-473b-87d1-ff383af59ba6,b12,0,1,Experiment_test,97,11/6/2023,,1,Experiment_test,,,Experiment_test,1,20230801_LZ22225_60min_inf.002.tif - T=5,c:1/3 z:1/5 t:6/16 - 20230801_LZ22225_60min_inf.002,c:1/3 z:1/5 t:6/16 - 20230801_LZ22225_60min_inf.002.tif,20230801_LZ22225_60min_inf.002.tif - T=5,13437.743,Stats[mean=13422.29 min=10357.0 max=17941.0 stdv=2115.4102],Stats[mean=8840.936 min=7563.0 max=9813.0 stdv=503.43936],Stats[mean=7637.387 min=5383.0 max=10952.0 stdv=1440.3198],(x=53.10 y=6.55),false,53.50112,2,2,2,53.09927,6.5450335,0,0,0,1,1,1,1,1,1,ip[width=10  height=1  bits=16  min=7560.0  max=27342.0],1,0.0,0.37175524,1.7378496,0.8671484,1.7552598E-5,0.9333145,0.9183643,1,21.037373,2.321062,2.0,0.54338944,1.0,1.0,0.47614744,2.5178056,
b13,93aba497-6b42-4bfc-a122-a15c0ebede7d,b13,0,1,Experiment_test,97,11/6/2023,,1,Experiment_test,,,Experiment_test,1,20230801_LZ22225_60min_inf.002.tif - T=5,c:1/3 z:1/5 t:6/16 - 20230801_LZ22225_60min_inf.002,c:1/3 z:1/5 t:6/16 - 20230801_LZ22225_60min_inf.002.tif,20230801_LZ22225_60min_inf.002.tif - T=5,12759.5,Stats[mean=12733.586 min=10403.0 max=16751.0 stdv=1472.1709],Stats[mean=8843.362 min=6924.0 max=10478.0 stdv=801.2001],Stats[mean=7495.793 min=4136.0 max=10378.0 stdv=1742.4185],(x=52.41 y=7.00),false,52.87946,2,2,2,52.413445,7.0048556,0,0,0,1,1,1,1,1,1,ip[width=14  height=1  bits=16  min=7560.0  max=27342.0],1,0.0,0.6680809,2.1460671,0.80757827,0.0015254392,1.3420634,1.3185341,1,16.719479,3.2242384,2.0,0.47227293,1.0000001,0.9998611,0.5665882,2.952258,
b14,c7e4898c-82fe-4761-9244-041a153ce7a6,b14,0,1,Experiment_test,97,11/6/2023,,1,Experiment_test,,,Experiment_test,1,20230801_LZ22225_60min_inf.002.tif - T=5,c:1/3 z:1/5 t:6/16 - 20230801_LZ22225_60min_inf.002,c:1/3 z:1/5 t:6/16 - 20230801_LZ22225_60min_inf.002.tif,20230801_LZ22225_60min_inf.002.tif - T=5,11981.577,Stats[mean=11766.234 min=8734.0 max=17578.0 stdv=1895.5607],Stats[mean=9128.167 min=6997.0 max=10958.0 stdv=880.40454],Stats[mean=6073.253 min=2516.0 max=10790.0 stdv=2225.8738],(x=52.46 y=8.42),false,53.13299,2,2,2,52.4618,8.418684,0,0,0,1,1,1,1,1,1,ip[width=39  height=1  bits=16  min=7560.0  max=27342.0],1,0.07470264,1.9402714,5.214149,0.33106756,0.16066144,4.0299582,4.1002245,1,27.791182,8.581789,2.0,0.15211481,1.0185914,0.83514035,0.4933344,3.4505603,
b15,68370634-e7e0-42a5-9668-14a90dd7a570,b15,0,1,Experiment_test,97,11/6/2023,,1,Experiment_test,,,Experiment_test,1,20230801_LZ22225_60min_inf.002.tif - T=5,c:1/3 z:1/5 t:6/16 - 20230801_LZ22225_60min_inf.002,c:1/3 z:1/5 t:6/16 - 20230801_LZ22225_60min_inf.002.tif,20230801_LZ22225_60min_inf.002.tif - T=5,14721.486,Stats[mean=14252.96 min=12132.0 max=19163.0 stdv=1516.0817],Stats[mean=8956.5 min=7704.0 max=10496.0 stdv=611.1145],Stats[mean=4214.98 min=3098.0 max=5394.0 stdv=633.7396],(x=54.70 y=7.09),false,55.15908,2,2,2,54.701553,7.0897145,0,0,0,1,1,1,1,1,1,ip[width=16  height=1  bits=16  min=7560.0  max=27342.0],1,0.20860642,0.6200212,3.0152295,0.6349903,0.36656806,1.5530391,1.57034,1,82.1814,3.5028753,2.0,0.32730442,1.0134565,0.99419796,0.4302393,1.6954979,
b16,72dc9dcb-c320-45f0-af51-4ff738ee52f1,b16,0,1,Experiment_test,97,11/6/2023,,1,Experiment_test,,,Experiment_test,1,20230801_LZ22225_60min_inf.002.tif - T=5,c:1/3 z:1/5 t:6/16 - 20230801_LZ22225_60min_inf.002,c:1/3 z:1/5 t:6/16 - 20230801_LZ22225_60min_inf.002.tif,20230801_LZ22225_60min_inf.002.tif - T=5,11825.277,Stats[mean=11164.056 min=9608.0 max=14496.0 stdv=1378.2786],Stats[mean=8620.527 min=6924.0 max=10201.0 stdv=773.4144],Stats[mean=8187.1387 min=5038.0 max=10438.0 stdv=1423.9083],(x=22.49 y=7.74),false,23.786983,2,2,2,22.49173,7.7422657,0,0,0,1,1,1,1,1,1,ip[width=14  height=1  bits=16  min=7560.0  max=27342.0],1,0.09207353,0.4537606,3.3272948,0.59195644,0.15656705,1.4157865,1.417629,1,25.839989,3.103655,2.0,0.28823146,1.0017796,0.9977559,0.35143209,3.5506792,
b17,cb7fa970-8a28-41c6-a389-033ff3b19ec0,b17,0,1,Experiment_test,97,11/6/2023,,1,Experiment_test,,,Experiment_test,1,20230801_LZ22225_60min_inf.002.tif - T=5,c:1/3 z:1/5 t:6/16 - 20230801_LZ22225_60min_inf.002,c:1/3 z:1/5 t:6/16 - 20230801_LZ22225_60min_inf.002.tif,20230801_LZ22225_60min_inf.002.tif - T=5,12211.833,Stats[mean=11615.733 min=9737.0 max=15742.0 stdv=1521.4034],Stats[mean=8854.022 min=7605.0 max=10147.0 stdv=509.27856],Stats[mean=7286.8 min=5292.0 max=9728.0 stdv=1078.0743],(x=29.94 y=7.65),false,30.898447,2,2,2,29.936169,7.651129,0,0,0,1,1,1,1,1,1,ip[width=13  height=1  bits=16  min=7560.0  max=27342.0],1,0.0,0.55522645,2.2975402,0.77974147,0.0,1.2684569,1.2630248,1,135.78459,2.9913325,2.0,0.43936837,1.0,1.0,0.5052394,3.3030686,
b18,54f2a702-7c91-41e0-82b8-11c77ed512b2,b18,0,1,Experiment_test,97,11/6/2023,,1,Experiment_test,,,Experiment_test,1,20230801_LZ22225_60min_inf.002.tif - T=5,c:1/3 z:1/5 t:6/16 - 20230801_LZ22225_60min_inf.002,c:1/3 z:1/5 t:6/16 - 20230801_LZ22225_60min_inf.002.tif,20230801_LZ22225_60min_inf.002.tif - T=5,11946.677,Stats[mean=12035.904 min=9581.0 max=16430.0 stdv=1826.8055],Stats[mean=8723.063 min=7180.0 max=10327.0 stdv=787.9642],Stats[mean=5627.1587 min=3065.0 max=8459.0 stdv=1379.6198],(x=37.68 y=7.84),false,38.49026,2,2,2,37.683342,7.8400135,0,0,0,1,1,1,1,1,1,ip[width=15  height=1  bits=16  min=7560.0  max=27342.0],1,0.0,0.73037064,2.6362443,0.7239082,7.0117817E-6,1.5234692,1.5190965,1,50.1946,3.5606956,2.0,0.40066928,1.0,0.9997936,0.53270173,3.4729161,
b19,5ddda346-bf82-43d6-8334-65d78f0b7948,b19,0,1,Experiment_test,97,11/6/2023,,1,Experiment_test,,,Experiment_test,1,20230801_LZ22225_60min_inf.002.tif - T=5,c:1/3 z:1/5 t:6/16 - 20230801_LZ22225_60min_inf.002,c:1/3 z:1/5 t:6/16 - 20230801_LZ22225_60min_inf.002.tif,20230801_LZ22225_60min_inf.002.tif - T=5,12356.4,Stats[mean=12223.5 min=11298.0 max=12777.0 stdv=650.61945],Stats[mean=8692.75 min=8329.0 max=9208.0 stdv=370.2795],Stats[mean=5268.5 min=4878.0 max=5629.0 stdv=382.59683],(x=55.61 y=7.53),false,56.121197,2,2,2,55.613808,7.529476,0,0,0,1,1,1,1,1,1,ip[width=5  height=1  bits=16  min=7560.0  max=27342.0],1,0.0,0.04407019,3.1375096,0.6234241,0.0,0.4251252,0.4079797,1,0.0,0.94250923,2.0,0.3104712,1.0,1.0,0.0,3.2104657,
b20,16f7d249-1901-43ad-89fc-1a541ed08a17,b20,0,1,Experiment_test,97,11/6/2023,,1,Experiment_test,,,Experiment_test,1,20230801_LZ22225_60min_inf.002.tif - T=5,c:1/3 z:1/5 t:6/16 - 20230801_LZ22225_60min_inf.002,c:1/3 z:1/5 t:6/16 - 20230801_LZ22225_60min_inf.002.tif,20230801_LZ22225_60min_inf.002.tif - T=5,11981.796,Stats[mean=11717.687 min=9699.0 max=14756.0 stdv=1037.4618],Stats[mean=9528.193 min=7700.0 max=11706.0 stdv=810.2018],Stats[mean=6954.88 min=4978.0 max=9082.0 stdv=795.7984],(x=23.66 y=10.04),false,25.702147,2,2,2,23.662083,10.035249,0,0,0,1,1,1,1,1,1,ip[width=47  height=1  bits=16  min=7560.0  max=27342.0],1,0.11674424,1.8103106,4.4312363,0.21964295,0.2561535,4.645498,4.9610486,1,153.77763,10.177073,2.0,0.10680675,1.0743041,0.51992744,0.37457457,3.4504204,
