mean,median,max,min,std_dev,skewness,kurtosis,pixel_count,area_covered,frame,z_stack,channel,full_filepath,condition,time,strain,image_type,biorep,signal
5355.7153260585965,5344.0,11844,3720,407.20010655735507,0.4292586675385015,2.5863527749725854,260628,0.9942169189453125,1,0,1,C:\Users\Nikon\Downloads\Omni\202311_checking_imaging_parameters\20231109_testing_image_parameters\20231109_AG_LZ22225biorep1_wash3\Image_Data\20231109_LZ22225_60min_inf_eGFP.003\background_only\Time_1_Z_0_Channel_1.tif,eGFP,60min,LZ22225,background,1,fish
4441.3153767054955,4401.0,11410,2903,479.3051728824202,1.1969062834531738,6.430426904919617,260628,0.9942169189453125,1,0,2,C:\Users\Nikon\Downloads\Omni\202311_checking_imaging_parameters\20231109_testing_image_parameters\20231109_AG_LZ22225biorep1_wash3\Image_Data\20231109_LZ22225_60min_inf_eGFP.003\background_only\Time_1_Z_0_Channel_2.tif,eGFP,60min,LZ22225,background,1,dapi
5189.134782141597,5178.0,11627,3632,394.05411255298634,0.4325361559409874,2.6107598477148057,260628,0.9942169189453125,1,1,1,C:\Users\Nikon\Downloads\Omni\202311_checking_imaging_parameters\20231109_testing_image_parameters\20231109_AG_LZ22225biorep1_wash3\Image_Data\20231109_LZ22225_60min_inf_eGFP.003\background_only\Time_1_Z_1_Channel_1.tif,eGFP,60min,LZ22225,background,1,fish
4401.20669690133,4360.0,10627,2735,478.0727623189819,1.200687594383853,6.327895977581267,260628,0.9942169189453125,1,1,2,C:\Users\Nikon\Downloads\Omni\202311_checking_imaging_parameters\20231109_testing_image_parameters\20231109_AG_LZ22225biorep1_wash3\Image_Data\20231109_LZ22225_60min_inf_eGFP.003\background_only\Time_1_Z_1_Channel_2.tif,eGFP,60min,LZ22225,background,1,dapi
5078.77658962199,5070.0,11439,3524,383.28472269966124,0.38453520486285414,2.343622908594128,260628,0.9942169189453125,1,2,1,C:\Users\Nikon\Downloads\Omni\202311_checking_imaging_parameters\20231109_testing_image_parameters\20231109_AG_LZ22225biorep1_wash3\Image_Data\20231109_LZ22225_60min_inf_eGFP.003\background_only\Time_1_Z_2_Channel_1.tif,eGFP,60min,LZ22225,background,1,fish
4373.328859523919,4333.0,10583,2642,473.209261646622,1.196001759826589,6.359803171291464,260628,0.9942169189453125,1,2,2,C:\Users\Nikon\Downloads\Omni\202311_checking_imaging_parameters\20231109_testing_image_parameters\20231109_AG_LZ22225biorep1_wash3\Image_Data\20231109_LZ22225_60min_inf_eGFP.003\background_only\Time_1_Z_2_Channel_2.tif,eGFP,60min,LZ22225,background,1,dapi
20122.054226713935,20140.0,28044,11850,902.8313362327608,0.018362764763744977,2.8897086897256585,260628,0.9942169189453125,1,3,0,C:\Users\Nikon\Downloads\Omni\202311_checking_imaging_parameters\20231109_testing_image_parameters\20231109_AG_LZ22225biorep1_wash3\Image_Data\20231109_LZ22225_60min_inf_eGFP.003\background_only\Time_1_Z_3_Channel_0.tif,eGFP,60min,LZ22225,background,1,phase
4994.316293721319,4986.0,11414,3436,376.4184062293059,0.3572760815080612,2.137474394958091,260628,0.9942169189453125,1,3,1,C:\Users\Nikon\Downloads\Omni\202311_checking_imaging_parameters\20231109_testing_image_parameters\20231109_AG_LZ22225biorep1_wash3\Image_Data\20231109_LZ22225_60min_inf_eGFP.003\background_only\Time_1_Z_3_Channel_1.tif,eGFP,60min,LZ22225,background,1,fish
4353.381286738187,4316.0,11140,2675,466.3849383703575,1.1583251856495538,6.126878420334933,260628,0.9942169189453125,1,3,2,C:\Users\Nikon\Downloads\Omni\202311_checking_imaging_parameters\20231109_testing_image_parameters\20231109_AG_LZ22225biorep1_wash3\Image_Data\20231109_LZ22225_60min_inf_eGFP.003\background_only\Time_1_Z_3_Channel_2.tif,eGFP,60min,LZ22225,background,1,dapi
4925.321807326918,4916.0,10967,3509,370.205809687703,0.29985530108113645,1.5047832141624395,260628,0.9942169189453125,1,4,1,C:\Users\Nikon\Downloads\Omni\202311_checking_imaging_parameters\20231109_testing_image_parameters\20231109_AG_LZ22225biorep1_wash3\Image_Data\20231109_LZ22225_60min_inf_eGFP.003\background_only\Time_1_Z_4_Channel_1.tif,eGFP,60min,LZ22225,background,1,fish
4329.306218057922,4293.0,12491,2755,461.18961737749464,1.1457523822651263,6.541045733460164,260628,0.9942169189453125,1,4,2,C:\Users\Nikon\Downloads\Omni\202311_checking_imaging_parameters\20231109_testing_image_parameters\20231109_AG_LZ22225biorep1_wash3\Image_Data\20231109_LZ22225_60min_inf_eGFP.003\background_only\Time_1_Z_4_Channel_2.tif,eGFP,60min,LZ22225,background,1,dapi
4866.374514633884,4858.0,10795,3266,368.4109893872784,0.26377980393674544,1.172715153168154,260628,0.9942169189453125,1,5,1,C:\Users\Nikon\Downloads\Omni\202311_checking_imaging_parameters\20231109_testing_image_parameters\20231109_AG_LZ22225biorep1_wash3\Image_Data\20231109_LZ22225_60min_inf_eGFP.003\background_only\Time_1_Z_5_Channel_1.tif,eGFP,60min,LZ22225,background,1,fish
4304.805834369293,4270.0,12348,2644,453.8660688536681,1.0564018967686875,5.878906400682531,260628,0.9942169189453125,1,5,2,C:\Users\Nikon\Downloads\Omni\202311_checking_imaging_parameters\20231109_testing_image_parameters\20231109_AG_LZ22225biorep1_wash3\Image_Data\20231109_LZ22225_60min_inf_eGFP.003\background_only\Time_1_Z_5_Channel_2.tif,eGFP,60min,LZ22225,background,1,dapi
4811.8388200807285,4802.0,10410,3365,369.32898535626794,0.2825859372486847,1.0727207477428502,260628,0.9942169189453125,1,6,1,C:\Users\Nikon\Downloads\Omni\202311_checking_imaging_parameters\20231109_testing_image_parameters\20231109_AG_LZ22225biorep1_wash3\Image_Data\20231109_LZ22225_60min_inf_eGFP.003\background_only\Time_1_Z_6_Channel_1.tif,eGFP,60min,LZ22225,background,1,fish
4291.7580229292325,4258.0,12965,2743,450.4383107152784,0.9994617790390272,5.631404487466737,260628,0.9942169189453125,1,6,2,C:\Users\Nikon\Downloads\Omni\202311_checking_imaging_parameters\20231109_testing_image_parameters\20231109_AG_LZ22225biorep1_wash3\Image_Data\20231109_LZ22225_60min_inf_eGFP.003\background_only\Time_1_Z_6_Channel_2.tif,eGFP,60min,LZ22225,background,1,dapi
7142.859793814433,7098.0,9627,5454,733.1415222741321,0.25448434563317995,-0.2338682638560896,970,0.00370025634765625,0,0,1,C:\Users\Nikon\Downloads\Omni\202311_checking_imaging_parameters\20231109_testing_image_parameters\20231109_AG_LZ22225biorep1_wash3\Image_Data\20231109_LZ22225_60min_inf_eGFP.003\cell_only\Time_0_Z_0_Channel_1.tif,eGFP,60min,LZ22225,cell,1,fish
9570.51649484536,8982.5,16750,5971,2070.5405589915285,1.044682945748182,0.6968661219991383,970,0.00370025634765625,0,0,2,C:\Users\Nikon\Downloads\Omni\202311_checking_imaging_parameters\20231109_testing_image_parameters\20231109_AG_LZ22225biorep1_wash3\Image_Data\20231109_LZ22225_60min_inf_eGFP.003\cell_only\Time_0_Z_0_Channel_2.tif,eGFP,60min,LZ22225,cell,1,dapi
6802.276288659794,6750.5,9376,5177,709.3306921888206,0.3912422216262591,0.08209208811827384,970,0.00370025634765625,0,1,1,C:\Users\Nikon\Downloads\Omni\202311_checking_imaging_parameters\20231109_testing_image_parameters\20231109_AG_LZ22225biorep1_wash3\Image_Data\20231109_LZ22225_60min_inf_eGFP.003\cell_only\Time_0_Z_1_Channel_1.tif,eGFP,60min,LZ22225,cell,1,fish
