NAME,NAME.id,NAME.name,ASSOCIATION,CLUMP,EXPERIMENT,EXPERIMENT.count,EXPERIMENT.date,EXPERIMENT.description,EXPERIMENT.field,EXPERIMENT.fullname,EXPERIMENT.id,EXPERIMENT.index,EXPERIMENT.name,EXPERIMENT.series,IMAGE,IMAGE.label,IMAGE.meta,IMAGE.name,INTENSITY,INTENSITY.ch1,INTENSITY.ch2,INTENSITY.ch3,LOCATION,LOCATION.center,LOCATION.dist,LOCATION.half,LOCATION.pole,LOCATION.side,LOCATION.x,LOCATION.y,MAXIMA,MAXIMA.Maxima1,MAXIMA.count,MEDIAL,POSITION,POSITION.channel,POSITION.frame,POSITION.position,POSITION.slice,PROFILE_MEDIAL,SHAPE,SHAPE.angularity,SHAPE.area,SHAPE.aspectRatio,SHAPE.circularity,SHAPE.curvature,SHAPE.feret,SHAPE.length,SHAPE.morphology,SHAPE.orientation,SHAPE.perimeter,SHAPE.pole,SHAPE.roundness,SHAPE.sinuosity,SHAPE.solidity,SHAPE.width,ZSCORE,
b11,d065610b-6cc0-4359-9aec-7d6c2e0f6824,b11,0,1,Experiment_test,65,11/6/2023,,1,Experiment_test,,,Experiment_test,1,20230801_LZ22225_60min_uninf.003.tif - T=4,c:1/3 z:1/5 t:5/14 - 20230801_LZ22225_60min_uninf.003,c:1/3 z:1/5 t:5/14 - 20230801_LZ22225_60min_uninf.003.tif,20230801_LZ22225_60min_uninf.003.tif - T=4,11790.769,Stats[mean=11544.583 min=9142.0 max=16624.0 stdv=1753.5609],Stats[mean=7261.1895 min=5903.0 max=8377.0 stdv=457.19196],Stats[mean=6088.023 min=4414.0 max=7570.0 stdv=724.375],(x=25.34 y=9.68),false,27.130798,2,2,2,25.343372,9.684711,0,0,0,1,1,1,1,1,1,ip[width=34  height=1  bits=16  min=7865.0  max=35621.0],1,0.06508701,1.5414593,6.073797,0.34644923,0.100176595,3.534384,3.546512,1,176.78473,7.4774094,2.0,0.15711392,1.0074096,0.93360776,0.45380157,3.7632215,
b12,af46ca67-f681-46d7-8f39-74ca8dd8439c,b12,0,1,Experiment_test,65,11/6/2023,,1,Experiment_test,,,Experiment_test,1,20230801_LZ22225_60min_uninf.003.tif - T=4,c:1/3 z:1/5 t:5/14 - 20230801_LZ22225_60min_uninf.003,c:1/3 z:1/5 t:5/14 - 20230801_LZ22225_60min_uninf.003.tif,20230801_LZ22225_60min_uninf.003.tif - T=4,12002.486,Stats[mean=11995.466 min=8884.0 max=17928.0 stdv=2346.1406],Stats[mean=7147.17 min=5875.0 max=8757.0 stdv=621.19305],Stats[mean=5783.981 min=2839.0 max=7994.0 stdv=1385.459],(x=22.56 y=11.10),false,25.144958,2,2,2,22.560541,11.103643,0,0,0,1,1,1,1,1,1,ip[width=35  height=1  bits=16  min=7865.0  max=35621.0],1,0.16612236,1.9066389,3.5579276,0.3931629,0.3602877,3.4756281,3.6758766,1,55.87231,7.8064375,2.0,0.20096107,1.0765558,0.7280352,0.5432084,3.6185973,
b13,42d99cc7-b76e-4ef4-be58-b8f30e01cc66,b13,0,1,Experiment_test,65,11/6/2023,,1,Experiment_test,,,Experiment_test,1,20230801_LZ22225_60min_uninf.003.tif - T=4,c:1/3 z:1/5 t:5/14 - 20230801_LZ22225_60min_uninf.003,c:1/3 z:1/5 t:5/14 - 20230801_LZ22225_60min_uninf.003.tif,20230801_LZ22225_60min_uninf.003.tif - T=4,11270.182,Stats[mean=10789.796 min=9036.0 max=14208.0 stdv=1327.2297],Stats[mean=7261.041 min=6052.0 max=8571.0 stdv=535.24646],Stats[mean=5885.2754 min=3191.0 max=8070.0 stdv=888.118],(x=38.46 y=12.84),false,40.549686,2,2,2,38.46257,12.841646,0,0,0,1,1,1,1,1,1,ip[width=25  height=1  bits=16  min=7865.0  max=35621.0],1,0.2848056,1.1543839,2.929329,0.48113182,0.57831615,2.381955,2.552402,1,132.32875,5.490957,2.0,0.2590558,1.0907805,0.78765863,0.48442298,4.1188326,
b14,1573fa6e-bfe8-4da5-9e9a-5b9e17ecf912,b14,0,1,Experiment_test,65,11/6/2023,,1,Experiment_test,,,Experiment_test,1,20230801_LZ22225_60min_uninf.003.tif - T=4,c:1/3 z:1/5 t:5/14 - 20230801_LZ22225_60min_uninf.003,c:1/3 z:1/5 t:5/14 - 20230801_LZ22225_60min_uninf.003.tif,20230801_LZ22225_60min_uninf.003.tif - T=4,11559.463,Stats[mean=13420.697 min=9282.0 max=18881.0 stdv=3113.383],Stats[mean=7153.7676 min=5823.0 max=8964.0 stdv=627.5819],Stats[mean=5303.2324 min=3212.0 max=7319.0 stdv=1317.6638],(x=0.80 y=12.83),false,12.859504,2,2,2,0.80022985,12.834581,0,0,0,1,1,1,1,1,1,ip[width=15  height=1  bits=16  min=7865.0  max=35621.0],1,0.13104019,0.52105266,3.1733048,0.6142914,0.21136,1.4748385,1.4787815,1,111.9169,3.2648146,2.0,0.3050021,1.0035833,0.9975881,0.38209045,3.9212258,
b15,70577d40-1fb4-4d65-b0a5-ef8acf6f4fa3,b15,0,1,Experiment_test,65,11/6/2023,,1,Experiment_test,,,Experiment_test,1,20230801_LZ22225_60min_uninf.003.tif - T=4,c:1/3 z:1/5 t:5/14 - 20230801_LZ22225_60min_uninf.003,c:1/3 z:1/5 t:5/14 - 20230801_LZ22225_60min_uninf.003.tif,20230801_LZ22225_60min_uninf.003.tif - T=4,11366.865,Stats[mean=10646.081 min=8454.0 max=13650.0 stdv=1259.306],Stats[mean=7501.5967 min=6390.0 max=8885.0 stdv=517.84174],Stats[mean=6576.371 min=5119.0 max=7953.0 stdv=724.5548],(x=2.29 y=14.23),false,14.412204,2,2,2,2.285522,14.229828,0,0,0,1,1,1,1,1,1,ip[width=18  height=1  bits=16  min=7865.0  max=35621.0],1,0.13358013,0.72984874,3.4668913,0.5747023,0.25337633,1.8129191,1.8182788,1,150.80034,3.9948447,2.0,0.28273925,1.0080249,0.99781096,0.4318108,4.0527887,
b16,7d9647e9-cc56-4ce4-811c-409aa475771d,b16,0,1,Experiment_test,65,11/6/2023,,1,Experiment_test,,,Experiment_test,1,20230801_LZ22225_60min_uninf.003.tif - T=4,c:1/3 z:1/5 t:5/14 - 20230801_LZ22225_60min_uninf.003,c:1/3 z:1/5 t:5/14 - 20230801_LZ22225_60min_uninf.003.tif,20230801_LZ22225_60min_uninf.003.tif - T=4,11217.417,Stats[mean=10941.97 min=8328.0 max=18243.0 stdv=1996.5671],Stats[mean=7116.27 min=5691.0 max=8554.0 stdv=552.0953],Stats[mean=5862.865 min=2998.0 max=8268.0 stdv=1067.6622],(x=5.01 y=18.92),false,19.574007,2,2,2,5.010517,18.921852,0,0,0,1,1,1,1,1,1,ip[width=38  height=1  bits=16  min=7865.0  max=35621.0],1,0.107236214,1.9436984,4.405953,0.3547973,0.23346068,3.8260117,3.94531,1,42.12076,8.297155,2.0,0.16906217,1.0365998,0.7747092,0.5139809,4.1548758,
b17,d07b1487-7c25-45fa-8967-29f42ec8e8eb,b17,0,1,Experiment_test,65,11/6/2023,,1,Experiment_test,,,Experiment_test,1,20230801_LZ22225_60min_uninf.003.tif - T=4,c:1/3 z:1/5 t:5/14 - 20230801_LZ22225_60min_uninf.003,c:1/3 z:1/5 t:5/14 - 20230801_LZ22225_60min_uninf.003.tif,20230801_LZ22225_60min_uninf.003.tif - T=4,11246.329,Stats[mean=10304.534 min=8586.0 max=14218.0 stdv=1285.6741],Stats[mean=7294.6206 min=6302.0 max=8723.0 stdv=551.9231],Stats[mean=6540.707 min=3720.0 max=8422.0 stdv=1005.8868],(x=38.62 y=18.63),false,42.880367,2,2,2,38.62243,18.628847,0,0,0,1,1,1,1,1,1,ip[width=15  height=1  bits=16  min=7865.0  max=35621.0],1,0.02952965,0.6618647,2.5344656,0.70301557,0.046776164,1.5039638,1.5026066,1,131.79799,3.439593,2.0,0.37256715,1.0001719,0.99622947,0.48355794,4.135126,
b18,ff5e0cff-57f5-4e53-9ea6-e39263d4fa96,b18,0,1,Experiment_test,65,11/6/2023,,1,Experiment_test,,,Experiment_test,1,20230801_LZ22225_60min_uninf.003.tif - T=4,c:1/3 z:1/5 t:5/14 - 20230801_LZ22225_60min_uninf.003,c:1/3 z:1/5 t:5/14 - 20230801_LZ22225_60min_uninf.003.tif,20230801_LZ22225_60min_uninf.003.tif - T=4,11626.832,Stats[mean=11077.339 min=8572.0 max=16504.0 stdv=1884.8624],Stats[mean=7011.3477 min=5954.0 max=8536.0 stdv=499.39005],Stats[mean=7096.949 min=3573.0 max=9734.0 stdv=1408.4233],(x=26.15 y=20.45),false,33.197876,2,2,2,26.15277,20.448269,0,0,0,1,1,1,1,1,1,ip[width=27  height=1  bits=16  min=7865.0  max=35621.0],1,0.15329403,1.3824587,3.7729828,0.47845036,0.3159254,2.7336447,2.7976816,1,122.306404,6.02577,2.0,0.23554732,1.0317304,0.88807106,0.52588356,3.8752058,
b19,9996ec8a-4aaf-4fe5-a38c-7d7d4a2c47ab,b19,0,1,Experiment_test,65,11/6/2023,,1,Experiment_test,,,Experiment_test,1,20230801_LZ22225_60min_uninf.003.tif - T=4,c:1/3 z:1/5 t:5/14 - 20230801_LZ22225_60min_uninf.003,c:1/3 z:1/5 t:5/14 - 20230801_LZ22225_60min_uninf.003.tif,20230801_LZ22225_60min_uninf.003.tif - T=4,11802.137,Stats[mean=11264.881 min=8624.0 max=16017.0 stdv=1818.3984],Stats[mean=7249.746 min=6167.0 max=9253.0 stdv=541.6635],Stats[mean=6920.8804 min=3256.0 max=9824.0 stdv=1674.3629],(x=5.29 y=23.54),false,24.129402,2,2,2,5.289095,23.542591,0,0,0,1,1,1,1,1,1,ip[width=17  height=1  bits=16  min=7865.0  max=35621.0],1,0.05333342,0.7754208,2.7435265,0.67511123,0.09229795,1.6741616,1.6720105,1,98.84243,3.799146,2.0,0.3522515,1.0009152,0.9964011,0.51715386,3.755456,
b20,1d8c352e-7867-43e9-84c0-059feaf1ca10,b20,0,1,Experiment_test,65,11/6/2023,,1,Experiment_test,,,Experiment_test,1,20230801_LZ22225_60min_uninf.003.tif - T=4,c:1/3 z:1/5 t:5/14 - 20230801_LZ22225_60min_uninf.003,c:1/3 z:1/5 t:5/14 - 20230801_LZ22225_60min_uninf.003.tif,20230801_LZ22225_60min_uninf.003.tif - T=4,12448.293,Stats[mean=11683.571 min=9105.0 max=16518.0 stdv=1739.9828],Stats[mean=7408.8213 min=6342.0 max=9082.0 stdv=565.46423],Stats[mean=6150.5 min=3945.0 max=8505.0 stdv=1214.8595],(x=7.44 y=24.10),false,25.226856,2,2,2,7.44222,24.104101,0,0,0,1,1,1,1,1,1,ip[width=15  height=1  bits=16  min=7865.0  max=35621.0],1,0.1262233,0.67240673,2.3298085,0.74752337,0.21807122,1.4373732,1.439593,1,107.643616,3.3620842,2.0,0.4143841,1.0035441,0.99573225,0.52773273,3.3140678,
